areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
화성,화성(경기도 경기도농업기술원),001,00122017001830,14.5,345.2,79.5,27446, , , ,1,6,0332,002,2017,2017-04-20,40,8,R13002,오대벼,6,76
상주,상주(국립식량과학원),001,00122017001838,16.7,464.3,84.4,39128, , , ,1,6,0329,002,2017,2017-04-25,41,8,R13002,오대벼,6,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001842,12.9,340.4,80.5,27401, , , ,1,6,0333,002,2017,2017-04-25,42,8,R13002,오대벼,6,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001846,14.8,378.9,91.9,34819, , , ,1,6,0344,002,2017,2017-04-20,43,8,R13002,오대벼,6,76
제천,제천(충청북도 농업기술원),001,00122017001850,15.5,430.9,76.2,32835, , , ,1,6,0337,002,2017,2017-04-20,44,8,R13002,오대벼,6,76
안동,안동(경상북도 농업기술원),001,00122017001880,18.2,434,65.1,28256, , , ,1,6,0351,002,2017,2017-04-20,45,8,R13002,오대벼,6,76
진부,진부(국립식량과학원),001,00122017001889,18,500.4,69,34528, , , ,1,6,0336,002,2017,2017-04-20,46,8,R13002,오대벼,6,76
진부,진부(국립식량과학원),001,00122017001887,20.8,578.2,59.2,34229, , , ,1,6,0336,002,2017,2017-04-20,47,8,R13003,진부올벼,6,76
영덕,영덕(국립식량과학원),001,00122017001833, , , , ,99.7,18.4,437.9,1,6,0338,002,2017,2017-04-20,48,8,R22009,화영벼,6,76
영덕,영덕(국립식량과학원),001,00122017001832, , , , ,99.9,18.1,430.8,1,6,0338,002,2017,2017-04-20,49,8,R22083,삼덕,6,76
영덕,영덕(국립식량과학원),001,00122017001834, , , , ,99.8,19.7,468.9,1,6,0338,002,2017,2017-04-20,50,8,R23004,화성벼,6,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001839, , , , ,89.4,12.8,327.4,1,6,0333,002,2017,2017-04-25,51,8,R32001,일품벼,6,76
청원,청원(충청북도 농업기술원),001,00122017001852, , , , ,86.4,16.9,402.2,1,6,2325,002,2017,2017-04-25,52,8,R32001,일품벼,6,76
안동,안동(경상북도 농업기술원),001,00122017001877, , , , ,97.6,16.9,402.2,1,6,0351,002,2017,2017-04-20,53,8,R32001,일품벼,6,76
화성,화성(경기도 경기도농업기술원),001,00122017001829,15,357.1,95.5,34107, , , ,1,6,0332,002,2017,2017-04-20,54,8,R32003,대안벼,6,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001840, , , , ,92.6,13.9,379.8,1,6,0333,002,2017,2017-04-25,55,8,R32003,대안벼,6,76
청원,청원(충청북도 농업기술원),001,00122017001853, , , , ,86.6,18.8,447.4,1,6,2325,002,2017,2017-04-25,56,8,R32003,대안벼,6,76
익산,익산(전북특별자치도 농업기술원),001,00122017001864, , , , ,101.9,15.1,359.4,1,6,0326,002,2017,2017-04-30,57,8,R32006,일미벼,6,76
계화,계화(국립식량과학원),001,00122017001820, , , , ,90,12.6,299,1,6,0343,002,2017,2017-04-30,58,8,R32011,남평벼,6,76
영덕,영덕(국립식량과학원),001,00122017001831, , , , ,92.1,19.3,459.3,1,6,0338,002,2017,2017-04-20,59,8,R32011,남평벼,6,76
예산,예산(충청남도 농업기술원),001,00122017001856, , , , ,107.8,16.4,390.3,1,6,0350,002,2017,2017-04-25,60,8,R32011,남평벼,6,76
익산,익산(전북특별자치도 농업기술원),001,00122017001862, , , , ,102.9,14.9,354.6,1,6,0326,002,2017,2017-04-30,61,8,R32011,남평벼,6,76
안동,안동(경상북도 농업기술원),001,00122017001878, , , , ,103.9,24.6,584.7,1,6,0351,002,2017,2017-04-20,62,8,R32015,새추청,6,76
익산,익산(전북특별자치도 농업기술원),001,00122017001863, , , , ,111.3,13,309.4,1,6,0326,002,2017,2017-04-30,63,8,R32016,신동진,6,76
계화,계화(국립식량과학원),001,00122017001819, , , , ,103.9,12.4,294,1,6,0343,002,2017,2017-04-30,64,8,R32068,동진1호,6,76
화성,화성(경기도 경기도농업기술원),001,00122017001828, , , , ,119.4,13.6,323.8,1,6,0332,002,2017,2017-04-20,65,8,R32082,삼광,6,76
청원,청원(충청북도 농업기술원),001,00122017001851, , , , ,92.6,18,428.4,1,6,2325,002,2017,2017-04-25,66,8,R32082,삼광,6,76
예산,예산(충청남도 농업기술원),001,00122017001859, , , , ,115.9,17.3,411.7,1,6,0350,002,2017,2017-04-25,67,8,R32082,삼광,6,76
예산,예산(충청남도 농업기술원),001,00122017001855, , , , ,112.9,16.2,385.6,1,6,0350,002,2017,2017-04-25,68,8,R32084,새누리,6,76
