areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,65.4,21.5,512,1,4,0352,002,2017,2017-05-10,1,3,R32006,일미벼,4,76
나주,나주(전라남도 농업기술원),001,00122017001869,65.9,19.4,462,1,4,0352,002,2017,2017-05-10,2,3,R32011,남평벼,4,76
나주,나주(전라남도 농업기술원),001,00122017001866,59.4,18.8,447,1,4,0352,002,2017,2017-05-10,3,3,R32081,미품,4,76
나주,나주(전라남도 농업기술원),001,00122017001867,69.5,18.1,431,1,4,0352,002,2017,2017-05-10,4,3,R32084,새누리,4,76
나주,나주(전라남도 농업기술원),001,00122017001868,67.6,23.2,552,1,4,0352,002,2017,2017-05-10,5,3,R32090,호평,4,76
나주,나주(전라남도 농업기술원),001,00122017001865,54.3,20.4,486,1,4,0352,002,2017,2017-05-10,6,3,R32092,현품,4,76
대구,대구(경상북도 농업기술원),001,00122017001875,77.5,18.8,447.4,1,4,0340,002,2017,2017-04-30,7,4,R22009,화영벼,4,76
대구,대구(경상북도 농업기술원),001,00122017001873,72.3,20.3,483.1,1,4,0340,002,2017,2017-04-30,8,4,R22083,삼덕,4,76
대구,대구(경상북도 농업기술원),001,00122017001874,65.3,18.5,440.3,1,4,0340,002,2017,2017-04-30,9,4,R32001,일품벼,4,76
대구,대구(경상북도 농업기술원),001,00122017001872,71.1,22,523.6,1,4,0340,002,2017,2017-04-30,10,4,R32015,새추청,4,76
대구,대구(경상북도 농업기술원),001,00122017001871,74.2,20.4,485.5,1,4,0340,002,2017,2017-04-30,11,4,R32093,새일미,4,76
진주,진주(경상남도 농업기술원),001,00122017001885,75.9,21,499.8,1,4,0335,002,2017,2017-05-10,12,6,R22009,화영벼,4,76
진주,진주(경상남도 농업기술원),001,00122017001883,69.1,20.8,495,1,4,0335,002,2017,2017-05-10,13,6,R32008,동안벼,4,76
진주,진주(경상남도 농업기술원),001,00122017001881,74.2,18.3,435.5,1,4,0335,002,2017,2017-05-10,14,6,R32068,동진1호,4,76
진주,진주(경상남도 농업기술원),001,00122017001882,65.9,19,452.2,1,4,0335,002,2017,2017-05-10,15,6,R32069,주남,4,76
진주,진주(경상남도 농업기술원),001,00122017001884,71.1,19.6,466.4,1,4,0335,002,2017,2017-05-10,16,6,R32093,새일미,4,76
계화,계화(국립식량과학원),001,00122017001822,64.7,17.6,418,1,4,0343,002,2017,2017-04-30,17,8,R11073,새계화,4,76
