areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,15.1,359,108,38772,2017-08-17,83.6,20.9,1,7,0352,002,2017,2017-05-10,1,3,R32006,일미벼,7,76
나주,나주(전라남도 농업기술원),001,00122017001869,14.8,352,107,37664,2017-08-16,85.4,20.5,1,7,0352,002,2017,2017-05-10,2,3,R32011,남평벼,7,76
나주,나주(전라남도 농업기술원),001,00122017001866,16.5,393,101,39693,2017-08-22,79.8,21.2,1,7,0352,002,2017,2017-05-10,3,3,R32081,미품,7,76
나주,나주(전라남도 농업기술원),001,00122017001867,14.5,345,114,39330,2017-08-19,97.3,25.7,1,7,0352,002,2017,2017-05-10,4,3,R32084,새누리,7,76
나주,나주(전라남도 농업기술원),001,00122017001868,16.3,388,103,39964,2017-08-18,91.3,20.3,1,7,0352,002,2017,2017-05-10,5,3,R32090,호평,7,76
나주,나주(전라남도 농업기술원),001,00122017001865,15.8,376,108,40608,2017-08-20,74.9,21,1,7,0352,002,2017,2017-05-10,6,3,R32092,현품,7,76
대구,대구(경상북도 농업기술원),001,00122017001875,16.7,397.5,98.7,39299,2017-08-11,82.5,20.2,1,7,0340,002,2017,2017-04-30,7,4,R22009,화영벼,7,76
대구,대구(경상북도 농업기술원),001,00122017001873,15.6,371.3,96.5,35829,2017-08-11,75.5,19,1,7,0340,002,2017,2017-04-30,8,4,R22083,삼덕,7,76
대구,대구(경상북도 농업기술원),001,00122017001874,15.6,371.3,96.9,35977,2017-08-21,75.1,20.4,1,7,0340,002,2017,2017-04-30,9,4,R32001,일품벼,7,76
대구,대구(경상북도 농업기술원),001,00122017001872,18.9,449.8,72,32387,2017-08-19,85.3,18.6,1,7,0340,002,2017,2017-04-30,10,4,R32015,새추청,7,76
대구,대구(경상북도 농업기술원),001,00122017001871,15.5,368.9,99.4,36669,2017-08-18,77,18.6,1,7,0340,002,2017,2017-04-30,11,4,R32093,새일미,7,76
진주,진주(경상남도 농업기술원),001,00122017001885,16.1,383,81.6,31253,2017-08-11,76.9,20.9,1,7,0335,002,2017,2017-05-10,12,6,R22009,화영벼,7,76
진주,진주(경상남도 농업기술원),001,00122017001883,15,357,75.7,27025,2017-08-15,75.5,19.4,1,7,0335,002,2017,2017-05-10,13,6,R32008,동안벼,7,76
진주,진주(경상남도 농업기술원),001,00122017001881,14,333,93.3,31069,2017-08-10,86.1,21.5,1,7,0335,002,2017,2017-05-10,14,6,R32068,동진1호,7,76
진주,진주(경상남도 농업기술원),001,00122017001882,13.2,314,91.9,28857,2017-08-17,69.6,19.9,1,7,0335,002,2017,2017-05-10,15,6,R32069,주남,7,76
진주,진주(경상남도 농업기술원),001,00122017001884,12.7,302,92.6,27965,2017-08-16,75.3,19.8,1,7,0335,002,2017,2017-05-10,16,6,R32093,새일미,7,76
계화,계화(국립식량과학원),001,00122017001822,14.1,337,117.6,39566,2017-08-13,70.9,23.6,1,7,0343,002,2017,2017-04-30,17,8,R11073,새계화,7,76
철원,철원(국립식량과학원),001,00122017001818,15.2,422.6,78.8,33299,2017-07-21,85,19.1,1,7,0331,002,2017,2017-04-20,18,8,R12004,진부벼,7,76
운봉,운봉(국립식량과학원),001,00122017001825,18.3,507,72.7,36859,2017-07-26,76,18.8,1,7,0330,002,2017,2017-04-20,19,8,R12004,진부벼,7,76
진부,진부(국립식량과학원),001,00122017001888,18.5,514.3,68.7,35332,2017-07-28,91,18,1,7,0336,002,2017,2017-04-20,20,8,R12004,진부벼,7,76
상주,상주(국립식량과학원),001,00122017001837,16,444.8,98.4,43783,2017-07-29,68.6,20.5,1,7,0329,002,2017,2017-04-25,21,8,R12005,상주벼,7,76
제천,제천(충청북도 농업기술원),001,00122017001848,16.7,464.3,88.3,40998,2017-07-27,65.4,16.9,1,7,0337,002,2017,2017-04-20,22,8,R12005,상주벼,7,76
제천,제천(충청북도 농업기술원),001,00122017001849,16,444.8,80.3,35717,2017-08-02,63,16.8,1,7,0337,002,2017,2017-04-20,23,8,R12016,상미,7,76
운봉,운봉(국립식량과학원),001,00122017001824,18.7,519,79.9,41468,2017-07-24,67.4,17.9,1,7,0330,002,2017,2017-04-20,24,8,R12019,삼천벼,7,76
철원,철원(국립식량과학원),001,00122017001817,15.6,433.7,78,33827,2017-07-19,73.4,20.9,1,7,0331,002,2017,2017-04-20,25,8,R12072,태봉,7,76
철원,철원(국립식량과학원),001,00122017001816,17.2,478.2,87.2,41696,2017-07-22,73,20,1,7,0331,002,2017,2017-04-20,26,8,R12079,운광,7,76
운봉,운봉(국립식량과학원),001,00122017001823,17.5,487,120.5,58684,2017-07-27,66.9,21.2,1,7,0330,002,2017,2017-04-20,27,8,R12079,운광,7,76
상주,상주(국립식량과학원),001,00122017001836,16.1,447.6,108.3,48552,2017-07-30,68.9,21.8,1,7,0329,002,2017,2017-04-25,28,8,R12079,운광,7,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001841,12.8,324.4,103.5,33578,2017-07-29,66.1,23.5,1,7,0333,002,2017,2017-04-25,29,8,R12079,운광,7,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001844,15.7,397.2,121.6,48301,2017-07-29,67.1,20.7,1,7,0344,002,2017,2017-04-20,30,8,R12079,운광,7,76
제천,제천(충청북도 농업기술원),001,00122017001847,15.4,428.1,88.1,37716,2017-07-25,66.7,18.4,1,7,0337,002,2017,2017-04-20,31,8,R12079,운광,7,76
안동,안동(경상북도 농업기술원),001,00122017001879,14.9,353.4,103.7,36649,2017-07-23,68.3,21.7,1,7,0351,002,2017,2017-04-20,32,8,R12079,운광,7,76
철원,철원(국립식량과학원),001,00122017001815,18.9,525.9,70.1,36846,2017-07-16,68.4,19.2,1,7,0331,002,2017,2017-04-20,33,8,R12080,조운,7,76
상주,상주(국립식량과학원),001,00122017001835,17.6,489.3,84.8,41493,2017-07-31,70.4,18.1,1,7,0329,002,2017,2017-04-25,34,8,R12085,설레미,7,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001843,15.2,395.2,101.1,39955,2017-07-27,75.8,20.4,1,7,0344,002,2017,2017-04-20,35,8,R12086,오대1호,7,76
진부,진부(국립식량과학원),001,00122017001886,16.5,458.7,78.7,36100,2017-07-27,87,21,1,7,0336,002,2017,2017-04-20,36,8,R12092,한설,7,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001845,14.7,376.3,101.5,38196,2017-08-07,71.4,18.8,1,7,0344,002,2017,2017-04-20,37,8,R12093,오륜,7,76
철원,철원(국립식량과학원),001,00122017001814,15.9,441.6,75.2,33187,2017-07-21,78.9,20.1,1,7,0331,002,2017,2017-04-20,38,8,R13002,오대벼,7,76
운봉,운봉(국립식량과학원),001,00122017001826,19,527,75.2,39630,2017-07-23,71.1,20,1,7,0330,002,2017,2017-04-20,39,8,R13002,오대벼,7,76
화성,화성(경기도 경기도농업기술원),001,00122017001830,14.5,345.2,79.5,27446,2017-07-26,81.1,21,1,7,0332,002,2017,2017-04-20,40,8,R13002,오대벼,7,76
상주,상주(국립식량과학원),001,00122017001838,16.7,464.3,84.4,39128,2017-07-28,77.5,21.2,1,7,0329,002,2017,2017-04-25,41,8,R13002,오대벼,7,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001842,12.9,340.4,80.5,27401,2017-07-25,74.7,21.8,1,7,0333,002,2017,2017-04-25,42,8,R13002,오대벼,7,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001846,14.8,378.9,91.9,34819,2017-07-26,76.8,21.4,1,7,0344,002,2017,2017-04-20,43,8,R13002,오대벼,7,76
제천,제천(충청북도 농업기술원),001,00122017001850,15.5,430.9,76.2,32835,2017-07-25,74.5,17.6,1,7,0337,002,2017,2017-04-20,44,8,R13002,오대벼,7,76
안동,안동(경상북도 농업기술원),001,00122017001880,18.2,434,65.1,28256,2017-07-26,79.4,21,1,7,0351,002,2017,2017-04-20,45,8,R13002,오대벼,7,76
진부,진부(국립식량과학원),001,00122017001889,18,500.4,69,34528,2017-08-04,85,20,1,7,0336,002,2017,2017-04-20,46,8,R13002,오대벼,7,76
진부,진부(국립식량과학원),001,00122017001887,20.8,578.2,59.2,34229,2017-07-22,85,16,1,7,0336,002,2017,2017-04-20,47,8,R13003,진부올벼,7,76
영덕,영덕(국립식량과학원),001,00122017001833,18.6,442.68,76,33644,2017-08-12,78.8,21.7,1,7,0338,002,2017,2017-04-20,48,8,R22009,화영벼,7,76
영덕,영덕(국립식량과학원),001,00122017001832,19.7,468.86,85.8,40228,2017-08-13,79.7,20.1,1,7,0338,002,2017,2017-04-20,49,8,R22083,삼덕,7,76
영덕,영덕(국립식량과학원),001,00122017001834,20.1,478.4,71.3,34108,2017-08-13,84.4,20.5,1,7,0338,002,2017,2017-04-20,50,8,R23004,화성벼,7,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001839,12.3,314.5,102.2,32145,2017-08-24,62.7,22.1,1,7,0333,002,2017,2017-04-25,51,8,R32001,일품벼,7,76
청원,청원(충청북도 농업기술원),001,00122017001852,16.8,399.8,101.3,40500,2017-08-22,67.4,20.9,1,7,2325,002,2017,2017-04-25,52,8,R32001,일품벼,7,76
안동,안동(경상북도 농업기술원),001,00122017001877,16.4,391.1,75.6,29573,2017-08-12,72,21.3,1,7,0351,002,2017,2017-04-20,53,8,R32001,일품벼,7,76
화성,화성(경기도 경기도농업기술원),001,00122017001829,15,357.1,95.5,34107,2017-08-12,90.2,22.4,1,7,0332,002,2017,2017-04-20,54,8,R32003,대안벼,7,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001840,13.3,364.3,76.3,27796,2017-08-15,75.8,23.2,1,7,0333,002,2017,2017-04-25,55,8,R32003,대안벼,7,76
