day,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,E0,ES0,ET0
2015-01-01,10490000.0,-6.1,-2.7,2.430451437784435,12.011009999920486,0.0,0.24267497370567984,0.2283929688092615,0.1547438691959347
2015-01-02,7630000.0,-7.3,-0.2,2.3842352183699917,6.78518805627205,0.0,0.16646628063619864,0.15577564531928417,0.15583334625300177
2015-01-03,9950000.0,-5.3,2.1,3.8850668840298215,4.205200361297853,0.0,0.08033798890715772,0.065072252665302,0.10089078548125378
2015-01-04,9150000.0,-2.2,8.9,6.126546615128791,4.725986740561785,0.0,0.09032048868062907,0.07342504974961224,0.12438643797055846
2015-01-05,8369999.999999999,-1.0,9.9,6.372224209699652,5.3455429503757745,1.35,0.11448219411784932,0.09844680166154589,0.14680637674079147
2015-01-06,11070000.0,-5.2,-0.5,1.8468429897871197,11.55607017435659,0.0,0.34709320301377444,0.33096953333779733,0.23362391222162177
2015-01-07,11600000.0,-6.8,-0.1,1.9967086540936683,7.398758215749672,0.0,0.20865489050449657,0.19218829769762055,0.18905578082059543
2015-01-08,11410000.0,-4.9,1.7,3.320937948982224,6.725327552908379,0.0,0.15045940552682519,0.132953671806265,0.14698721247371074
2015-01-09,6310000.0,-4.2,3.7,4.251915706397948,6.910895113335759,0.0,0.13337594403460803,0.12316024539385968,0.13030381660697804
2015-01-10,10050000.0,-2.3,4.9,4.581225053965044,8.293672741036547,0.05,0.175952549906441,0.15869825037171376,0.1585583051189849
2015-01-11,11030000.0,-5.4,2.6,3.016748761193361,9.571694487850912,0.0,0.23775329847136345,0.22069261704353055,0.19170143703744907
2015-01-12,12150000.0,-5.3,2.5,2.7852164548742278,2.4123782855559206,0.0,0.08658133473805134,0.06778829037285009,0.1243046313586775
2015-01-13,10610000.0,-3.0,6.4,4.013455635726441,2.3195945053422315,0.0,0.08978495588264666,0.0713007157624625,0.13091385143391693
2015-01-14,4210000.0,-1.9,6.0,4.825145601897421,3.0109833191926256,0.0,0.09298784601844493,0.08556014399021496,0.11843766207946364
2015-01-15,8540000.0,-1.6,7.6,5.375807493532876,4.031604901543208,0.0,0.10920217105490992,0.0936219208134824,0.13693519342514474
2015-01-16,4430000.0,-4.3,3.9,4.246542736702463,12.310312516738836,0.13,0.21991755545723307,0.21273156727822035,0.153292768417403
2015-01-17,12420000.0,-5.0,1.2,2.933547265090394,7.614256027858886,0.0,0.19481531757587228,0.175992593533152,0.17034157993463508
